Year, Average alcohol consumption per capita
1995,6.46
1996,6.49
1997,7.08
1998,7.02
1999,7.04
2000,7.12
2001,6.63
2002,6.93
2003,7.86
2004,8.28
2005,7.97
2006,8.79
2007,9.21
2008,9.58
2009,9.06
2010,9.02
2011,9.25
2012,9.16
2013,9.67
2014,9.40
2015,9.41
